,string
1491,2060.827338
1492,2061.827338
1493,2063.445372
1494,2064.445372
1495,2066.063406
1496,2067.68144
1497,2068.68144
1498,2070.299474
1499,2071.917508
1500,2072.917508
1501,2074.535542
1502,2075.535542
1503,2077.153576
1504,2078.77161
1505,2079.77161
1506,2081.389644
1507,2082.389644
1508,2084.007678
1509,2085.625712
1510,2086.625712
1511,2088.243745
1512,2089.861779
1513,2090.861779
1514,2092.479813
1515,2093.479813
1516,2095.097847
1517,2096.715881
1518,2097.715881
1519,2099.333915
1520,2100.951949
1521,2101.951949
1522,2103.569983
1523,2104.569983
1524,2106.188017
1525,2107.806051
1526,2108.806051
1527,2110.424085
1528,2111.424085
1529,2113.042119
1530,2114.660153
1531,2115.660153
1532,2117.278187
1533,2118.896221
1534,2119.896221
1535,2121.514255
1536,2122.514255
1537,2124.132289
1538,2125.750323
1539,2126.750323
1540,2128.368357
1541,2129.986391
1542,2130.986391
1543,2132.604425
1544,2133.604425
1545,2135.222459
1546,2136.840493
1547,2137.840493
1548,2139.458527
1549,2140.458527
1550,2142.076561
1551,2143.694595
1552,2144.694595
1553,2146.312629
1554,2147.930663
1555,2148.930663
1556,2150.548697
1557,2151.548697
1558,2153.166731
1559,2154.784765
1560,2155.784765
1561,2157.402799
1562,2158.402799
1563,2160.020833
1564,2161.638867
1565,2162.638867
1566,2164.256901
1567,2165.874935
1568,2166.874935
1569,2168.492969
1570,2169.492969
1571,2171.111003
1572,2172.729037
1573,2173.729037
1574,2175.347071
1575,2176.965105
1576,2177.965105
1577,2179.583139
1578,2180.583139
1579,2182.201173
1580,2183.819207
1581,2184.819207
1582,2186.437241
1583,2187.437241
1584,2189.055275
1585,2190.673309
1586,2191.673309
1587,2193.291343
1588,2194.909377
1589,2195.909377
1590,2197.527411
1591,2198.527411
1592,2200.145445
1593,2201.763479
1594,2202.763479
1595,2204.381513
1596,2205.999547
1597,2206.999547
1598,2208.617581
1599,2209.617581
1600,2211.235615
1601,2212.853649
1602,2213.853649
1603,2215.471683
1604,2216.471683
1605,2218.089717
1606,2219.707751
1607,2220.707751
1608,2222.325785
1609,2223.943819
1610,2224.943819
1611,2226.561853
1612,2227.561853
1613,2229.179887
1614,2230.797921
1615,2231.797921
1616,2233.415955
1617,2234.415955
1618,2236.033989
1619,2237.652023
1620,2238.652023
1621,2240.270057
1622,2241.888091
1623,2242.888091
1624,2244.506125
1625,2245.506125
1626,2247.124159
1627,2248.742193
1628,2249.742193
1629,2251.360227
1630,2252.978261
1631,2253.978261
1632,2255.596295
1633,2256.596295
1634,2258.214329
1635,2259.832363
1636,2260.832363
1637,2262.450397
1638,2263.450397
1639,2265.068431
1640,2266.686465
1641,2267.686465
1642,2269.304499
1643,2270.922533
1644,2271.922533
1645,2273.540567
1646,2274.540567
1647,2276.158601
1648,2277.776635
1649,2278.776635
1650,2280.394669
1651,2281.394669
1652,2283.012703
1653,2284.630737
1654,2285.630737
1655,2287.24877
1656,2288.866804
1657,2289.866804
1658,2291.484838
1659,2292.484838
